id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
56880,Male,Urban,High School,7.68,1,1,5905.0,1,A,Gold,33636
68433,Female,Urban,Others,3.81,0,4,4969.0,More than 1,B,Silver,61284
11552,Female,Rural,Bachelor,8.09,1,3,0.0,More than 1,A,Platinum,58200
7095,Male,Urban,High School,9.35,1,7,6030.0,1,B,Silver,36036
33985,Female,Urban,High School,4.76,1,6,4226.0,More than 1,A,Gold,29676
35928,Male,Urban,High School,6.48,1,6,3444.0,More than 1,A,Platinum,88920
88175,Male,Urban,High School,6.31,1,7,4140.0,1,B,Silver,32256
7322,Female,Urban,High School,85.26,0,3,2646.0,1,B,Gold,35184
27080,Female,Urban,Bachelor,6.04,1,8,3971.0,More than 1,A,Platinum,87180
36161,Female,Urban,Bachelor,37.36,1,8,0.0,More than 1,C,Platinum,104544
27253,Male,Urban,High School,7.07,1,7,6006.0,More than 1,A,Silver,108912
80430,Female,Rural,High School,76.28,1,1,0.0,More than 1,A,Gold,69468
30393,Male,Urban,Bachelor,28.18,0,8,6826.0,More than 1,A,Platinum,364140
51141,Female,Urban,High School,8.9,0,7,,More than 1,B,Platinum,67200
51372,Male,Urban,High School,9.81,1,4,0.0,1,A,Platinum,31416
5657,Male,Urban,High School,9.1,0,5,26230.0,More than 1,B,Platinum,424728
16863,Male,Urban,Bachelor,6.65,1,4,3649.0,More than 1,A,Silver,109392
55857,Male,Urban,Bachelor,6.15,1,8,8575.0,More than 1,A,Platinum,317064
45511,Female,,High School,8.53,1,5,3192.0,More than 1,,Gold,70860
65534,Male,Urban,High School,52.03,1,6,2602.0,More than 1,A,Platinum,54336
7050,Female,Urban,Bachelor,2.52,0,6,6673.0,More than 1,B,Platinum,93264
32536,Male,Urban,Bachelor,5.04,0,4,0.0,More than 1,B,Gold,96504
10482,Male,Urban,High School,8.37,1,6,3741.0,1,A,Platinum,71124
34619,Male,Rural,High School,6.75,1,3,0.0,1,A,Platinum,61224
76838,Male,Urban,High School,5.56,1,5,5546.0,More than 1,A,Platinum,67128
28443,Male,Urban,Bachelor,5.22,1,5,3006.0,More than 1,B,Platinum,68388
19269,Male,,High School,8.31,0,4,7063.0,More than 1,B,Silver,51936
7118,Male,Urban,High School,,1,8,0.0,More than 1,,Silver,76680
22633,Female,Rural,High School,6.52,0,4,5368.0,More than 1,A,Gold,61584
53324,Male,Rural,Bachelor,3.69,1,2,2263.0,More than 1,B,Silver,104208
23067,Male,Rural,Bachelor,8.26,0,1,0.0,1,B,Platinum,28800
33784,Female,Urban,High School,7.97,0,7,3942.0,More than 1,B,Silver,64620
61921,Male,Urban,Bachelor,3.98,1,1,6047.0,1,A,Platinum,60168
33197,Female,Rural,High School,31.95,1,5,0.0,More than 1,A,Silver,51756
32189,Female,Urban,High School,,1,7,3527.0,More than 1,B,Platinum,99492
45163,Female,Urban,Bachelor,5.28,0,5,0.0,1,A,Silver,32232
29716,Female,Urban,High School,8.19,1,6,6402.0,1,A,Platinum,38964
18234,Male,Urban,High School,7.95,0,1,2818.0,More than 1,C,Silver,96684
27268,Female,Rural,Bachelor,7.24,0,7,0.0,More than 1,A,Gold,78792
16844,Male,Urban,High School,6.31,0,7,8001.0,More than 1,B,Platinum,301128
38938,Male,Rural,Bachelor,6.32,0,6,0.0,1,B,Silver,44244
29231,Female,Urban,Bachelor,3.39,1,1,6426.0,More than 1,A,Platinum,107232
26697,Male,Urban,High School,3.08,1,0,4921.0,1,A,Silver,45744
28093,Female,Urban,Bachelor,49.76,0,7,8125.0,More than 1,A,Gold,61680
87045,Female,Urban,High School,7.66,1,4,5124.0,More than 1,A,Silver,404484
21723,Female,Rural,High School,52.81,0,2,0.0,1,A,Platinum,64176
63317,Female,Urban,Bachelor,2.97,1,5,5811.0,More than 1,B,Silver,60372
54017,Male,Urban,Bachelor,,1,7,4254.0,More than 1,B,Platinum,57876
7072,Male,Urban,High School,9.64,1,6,3250.0,More than 1,C,Silver,67716
70884,Male,Rural,Bachelor,6.35,1,7,3016.0,1,C,Silver,32412
68926,Female,Urban,High School,9.18,0,5,4423.0,More than 1,A,Gold,102396
56612,Female,Urban,Bachelor,12.7,0,1,11006.0,More than 1,A,Platinum,267852
38530,Female,Rural,Bachelor,9.65,0,4,0.0,More than 1,A,Platinum,56832
26130,Male,Urban,High School,4.16,1,5,6829.0,1,A,Platinum,63924
45039,Male,Urban,High School,77.93,0,5,,More than 1,A,Platinum,116892
57422,Female,Urban,High School,8.45,1,2,7614.0,More than 1,A,Silver,324492
46089,Female,Urban,Bachelor,2.86,0,6,9224.0,More than 1,B,Gold,491220
12912,Female,Urban,High School,2.03,1,3,5290.0,1,,Silver,57780
21776,Female,Urban,High School,5.65,0,5,9813.0,More than 1,A,Platinum,36576
83747,Male,Urban,High School,5.02,0,6,0.0,1,A,Silver,31644
26812,Male,Urban,High School,6.31,1,6,5802.0,More than 1,A,Platinum,60180
51400,Male,Urban,High School,,1,1,5260.0,1,B,Silver,32976
16980,Male,Urban,Others,9.37,1,7,4144.0,1,A,Silver,61008
44368,Female,Urban,Bachelor,6.77,0,0,3546.0,More than 1,B,Platinum,65772
58543,Male,Rural,High School,26.51,1,7,11348.0,More than 1,,Platinum,304188
40041,Male,Rural,High School,59.24,1,7,0.0,More than 1,B,Platinum,71868
56305,Male,Urban,Bachelor,7.09,1,1,3288.0,More than 1,A,Platinum,149136
84150,Female,Urban,High School,6.44,1,2,4082.0,More than 1,A,Platinum,66780
14307,Female,Urban,High School,6.67,0,3,6332.0,1,,Platinum,34824
62566,Male,Urban,High School,8.85,1,2,2432.0,1,A,Silver,33780
64738,Male,Urban,Bachelor,5.83,0,7,2605.0,1,A,Platinum,71436
59613,Male,Rural,High School,6.35,0,2,0.0,More than 1,B,Platinum,126192
28276,Male,Rural,Bachelor,7.09,0,3,0.0,More than 1,A,Platinum,106020
86991,Male,Urban,Bachelor,0.66,0,6,5407.0,More than 1,A,Silver,31908
85499,Female,Urban,High School,6.12,0,7,4539.0,More than 1,A,Platinum,92508
30964,Male,Urban,Bachelor,3.99,1,8,3830.0,1,,Platinum,29700
77473,Female,Urban,Bachelor,2.12,1,7,4262.0,More than 1,A,Gold,58236
27389,Male,Urban,Bachelor,0.1,0,6,,More than 1,A,Silver,156468
5571,Female,Urban,Bachelor,8.58,0,2,4010.0,More than 1,A,Platinum,59844
14015,Female,Rural,High School,49.65,1,3,3721.0,1,A,Gold,59808
11653,Male,Urban,High School,4.69,0,7,5314.0,1,A,Silver,29364
61906,Male,Urban,Others,5.55,0,2,3980.0,More than 1,A,Gold,57600
68277,Female,Urban,Bachelor,8.2,0,8,6399.0,More than 1,A,Platinum,101556
39369,Female,Urban,High School,5.63,1,1,4379.0,More than 1,A,Platinum,70200
87937,Male,Urban,Bachelor,8.54,0,6,6938.0,More than 1,A,Platinum,116532
67503,Female,Urban,High School,8.55,0,5,,More than 1,A,Silver,231480
31187,Male,Rural,High School,9.65,1,8,4289.0,1,A,Platinum,33564
40638,Male,Urban,Bachelor,2.93,1,8,6715.0,More than 1,A,Platinum,546084
3476,Male,Urban,High School,,1,1,0.0,More than 1,A,Platinum,58464
47189,Male,Urban,High School,4.39,1,6,12043.0,More than 1,A,Platinum,165672
55503,Female,Urban,Bachelor,4.81,0,6,3059.0,More than 1,A,Platinum,286200
78465,Female,Urban,Bachelor,3.93,0,1,7588.0,1,B,Gold,52560
21134,Female,Urban,High School,4.81,0,2,17324.0,More than 1,A,Platinum,235464
37526,Female,Rural,High School,,1,7,0.0,1,B,Platinum,45036
82405,Female,Rural,Bachelor,8.4,0,7,0.0,1,A,Platinum,79380
12596,Male,Urban,High School,4.22,0,7,4358.0,More than 1,B,Gold,66396
67351,Male,Rural,High School,8.88,0,6,3048.0,1,A,Gold,69564
15259,Female,Urban,High School,3.23,1,1,0.0,1,A,Silver,30876
84768,Female,Urban,Bachelor,6.2,1,3,3389.0,More than 1,B,Silver,93996
44425,Male,Urban,Bachelor,4.19,1,3,7527.0,More than 1,C,Platinum,68280
22958,Male,Urban,Bachelor,5.18,0,1,2504.0,More than 1,A,Gold,93864
86081,Male,Rural,Bachelor,5.45,1,2,5514.0,1,C,Platinum,30444
23667,Male,Urban,Bachelor,8.0,1,3,4005.0,More than 1,B,Silver,74952
79669,Male,Rural,Bachelor,8.1,1,6,7034.0,1,A,Platinum,68244
3956,Male,Urban,Bachelor,85.11,0,0,2240.0,1,C,Silver,33576
47073,Male,Urban,Bachelor,2.19,1,6,6324.0,1,A,Silver,35016
53588,Male,Urban,High School,25.2,1,4,2225.0,1,C,Platinum,123000
7275,Female,Urban,High School,,1,6,3708.0,More than 1,A,Platinum,68352
63752,Male,Urban,High School,9.03,0,8,6194.0,More than 1,A,Platinum,56664
78383,Female,Urban,High School,3.94,0,8,5989.0,1,A,Gold,63096
74944,Male,Urban,Bachelor,34.57,0,2,4137.0,More than 1,A,Gold,461796
35861,Male,Rural,Bachelor,7.4,1,7,0.0,1,A,Platinum,64812
78214,Male,Rural,Bachelor,9.48,0,7,5286.0,1,B,Platinum,29544
19961,Female,Urban,Bachelor,,1,2,6839.0,More than 1,C,Platinum,214728
66511,Female,Rural,Bachelor,5.71,0,3,7442.0,More than 1,C,Gold,68964
73791,Male,Rural,Bachelor,3.44,1,6,0.0,1,A,Platinum,36012
22364,Male,Rural,High School,89.62,0,7,0.0,1,B,Platinum,52188
35712,Female,Urban,Bachelor,58.33,0,7,4674.0,More than 1,A,Platinum,523776
51103,Female,Rural,Bachelor,,0,5,3495.0,More than 1,C,Gold,72936
37917,Female,Urban,High School,9.61,0,6,2169.0,More than 1,,Platinum,44424
7995,Female,Urban,Bachelor,4.42,1,6,5064.0,More than 1,A,Platinum,128364
81763,Male,Urban,High School,2.25,0,2,8039.0,More than 1,A,Platinum,67008
23801,Male,Rural,High School,7.66,0,4,6398.0,1,A,Gold,74028
4864,Male,Urban,Bachelor,6.78,1,3,4397.0,More than 1,A,Silver,62004
26490,Male,Urban,High School,5.57,0,8,11180.0,More than 1,B,Platinum,101460
88433,Male,Rural,Bachelor,8.33,1,5,2734.0,More than 1,B,Silver,137520
59442,Female,Urban,High School,7.36,0,6,7617.0,More than 1,A,Silver,61584
51700,Female,Urban,Bachelor,3.8,1,2,5364.0,More than 1,A,Platinum,69168
34612,Male,Urban,Bachelor,6.89,1,8,6002.0,More than 1,A,Silver,101544
68564,Female,Urban,High School,4.21,1,6,4904.0,More than 1,A,Platinum,150228
22484,Female,Urban,High School,5.41,0,2,4777.0,More than 1,A,Platinum,63360
3330,Male,Urban,Bachelor,35.84,0,0,6774.0,More than 1,B,Platinum,54600
5406,Male,,High School,19.69,1,5,2007.0,1,B,Silver,67320
39678,Male,Urban,Bachelor,1.64,1,6,4073.0,More than 1,A,Silver,178380
59762,Male,Rural,Bachelor,6.15,1,7,2912.0,1,A,Silver,36192
29741,Female,Urban,High School,6.85,1,1,6554.0,1,A,Gold,35460
44981,Male,Urban,Bachelor,6.81,1,5,6706.0,1,C,Platinum,54624
65489,Female,Urban,Bachelor,9.12,0,3,0.0,1,A,Platinum,32772
16857,Male,Urban,High School,9.17,0,8,3222.0,More than 1,A,Silver,61272
68732,Male,Rural,High School,,1,3,2973.0,More than 1,A,Platinum,65784
78833,Male,Rural,Others,8.36,0,0,5898.0,More than 1,A,Gold,137532
50010,Female,Urban,High School,3.61,1,3,3834.0,More than 1,A,Platinum,66612
13819,Female,Urban,Bachelor,0.05,0,6,5398.0,More than 1,A,Platinum,108084
37271,Female,,Bachelor,8.65,0,3,28859.0,More than 1,B,Gold,63540
33260,Female,Urban,Others,,0,5,7365.0,More than 1,A,Platinum,58956
67289,Female,Rural,Bachelor,95.5,0,3,2645.0,More than 1,B,Gold,77520
38532,Female,Urban,High School,49.12,0,6,4282.0,More than 1,A,Gold,70620
80171,Female,Rural,Bachelor,7.32,0,2,2517.0,More than 1,C,Silver,62304
4225,Male,Rural,High School,5.1,1,6,8308.0,1,A,Gold,30216
55871,Male,Rural,Bachelor,6.37,1,5,0.0,More than 1,A,Gold,45552
14703,Female,Urban,High School,9.97,0,6,7164.0,More than 1,A,Gold,61248
19977,Male,Urban,High School,24.5,0,1,9419.0,More than 1,A,Silver,397104
14562,Female,Urban,High School,9.74,0,6,,More than 1,A,Platinum,60864
52857,Male,,Bachelor,4.89,1,5,6121.0,More than 1,A,Silver,285096
59223,Male,Urban,Bachelor,4.08,0,4,11299.0,1,A,Platinum,73584
85453,Female,Urban,Bachelor,6.12,0,3,0.0,More than 1,A,Silver,102804
67345,Female,Urban,High School,2.59,1,8,,1,B,Silver,32664
86294,Male,Urban,Bachelor,71.74,1,5,3313.0,More than 1,A,Platinum,69264
64226,Male,Urban,Bachelor,94.77,1,5,14069.0,More than 1,B,Platinum,104688
54991,Female,Urban,High School,6.02,0,7,,More than 1,A,Silver,503316
54824,Female,Rural,Bachelor,9.81,1,5,3336.0,More than 1,A,Silver,64968
7261,Male,Urban,Bachelor,7.61,1,1,5568.0,More than 1,A,Platinum,107256
85673,Female,Urban,High School,2.59,1,5,3207.0,1,A,Platinum,58248
33206,Female,Urban,High School,95.9,1,4,5131.0,1,A,Gold,56748
85355,Male,Urban,High School,5.64,1,6,2539.0,1,A,Platinum,47616
53024,Male,Rural,High School,,1,4,2978.0,More than 1,,Silver,103800
83716,Female,Urban,High School,4.82,1,6,4080.0,1,A,Silver,34044
86476,Male,Urban,High School,9.06,0,2,5923.0,More than 1,A,Gold,45048
1119,Male,Urban,Bachelor,,0,6,5598.0,More than 1,A,Platinum,62208
65222,Female,Urban,High School,85.35,1,7,3802.0,More than 1,A,Platinum,69528
75757,Female,Urban,Bachelor,8.37,1,7,3930.0,More than 1,A,Gold,68340
63511,Male,Rural,High School,7.32,1,2,2565.0,1,A,Platinum,33000
54140,Male,Rural,High School,71.36,0,7,2578.0,More than 1,A,Gold,69408
69890,Female,Urban,Bachelor,2.7,1,0,0.0,More than 1,A,Silver,68484
56489,Female,Rural,High School,6.24,0,5,0.0,1,A,Gold,30876
65003,Male,Urban,Bachelor,38.3,0,7,11922.0,More than 1,A,Platinum,178788
35071,Male,Urban,High School,6.82,1,8,4028.0,More than 1,A,Silver,56592
85334,Male,Urban,High School,7.28,0,6,3322.0,More than 1,B,Gold,190224
32303,Male,Urban,Bachelor,2.67,1,1,5400.0,More than 1,,Gold,64056
75081,Male,Urban,Bachelor,5.54,0,7,6232.0,More than 1,A,Silver,71748
59174,Female,Urban,High School,9.8,0,6,4501.0,More than 1,C,Platinum,429552
17302,Female,Urban,Bachelor,2.68,1,6,6230.0,More than 1,A,Platinum,62076
36078,Male,Urban,High School,52.25,1,2,0.0,1,A,Platinum,32604
5048,Female,Rural,High School,45.31,0,3,2333.0,More than 1,C,Gold,61188
88783,Male,Urban,Others,6.5,1,7,6379.0,1,B,Gold,35160
25994,Male,,High School,13.05,0,2,6155.0,More than 1,A,Platinum,96576
65518,Female,Rural,Bachelor,7.4,0,7,3619.0,More than 1,A,Gold,63660
13000,Male,Urban,High School,2.08,0,6,3142.0,More than 1,A,Platinum,71772
31261,Female,Rural,High School,70.83,1,2,0.0,More than 1,B,Platinum,65352
38740,Male,Rural,High School,71.7,1,6,0.0,1,C,Gold,36264
63557,Male,,Bachelor,8.22,1,7,2264.0,More than 1,A,Platinum,63480
38255,Female,Urban,High School,3.14,0,7,8642.0,More than 1,B,Gold,117444
86627,Female,Urban,High School,9.31,1,6,0.0,1,C,Gold,31104
67163,Female,Urban,Bachelor,5.3,1,6,,More than 1,A,Silver,64860
59078,Male,,High School,5.86,0,3,6847.0,More than 1,A,Platinum,447432
20459,Male,Urban,High School,8.54,1,8,9790.0,1,A,Gold,30420
71617,Female,Urban,High School,,1,4,5530.0,1,A,Platinum,37992
3964,Male,Urban,High School,3.63,0,8,0.0,More than 1,B,Platinum,152820
43728,Female,Urban,High School,9.77,0,5,5713.0,More than 1,A,Platinum,202164
79230,Male,Urban,Bachelor,8.01,1,6,4102.0,More than 1,B,Platinum,55692
62180,Male,Urban,High School,7.08,1,4,,More than 1,C,Silver,53988
5189,Male,Urban,High School,9.05,1,6,12272.0,More than 1,C,Silver,160500
40348,Female,Urban,Bachelor,4.84,0,6,8153.0,More than 1,C,Platinum,373824
53277,Male,Urban,Bachelor,8.74,0,4,5376.0,More than 1,A,Platinum,374580
9122,Female,Urban,Bachelor,6.45,1,6,2011.0,More than 1,A,Silver,72672
42391,Male,Urban,High School,2.17,1,3,3710.0,More than 1,B,Gold,54684
52669,Female,Urban,Bachelor,7.65,0,6,6334.0,1,A,Platinum,58176
13235,Male,Urban,High School,,1,5,6818.0,1,C,Gold,35988
71226,Male,Urban,High School,48.64,1,8,0.0,More than 1,B,Silver,68424
13159,Female,,High School,7.95,1,6,5941.0,More than 1,A,Platinum,59436
87080,Female,Urban,Bachelor,4.81,0,0,2788.0,More than 1,A,Gold,79296
52421,Female,Urban,High School,5.37,1,4,11158.0,More than 1,,Platinum,110556
30835,Male,Urban,Bachelor,3.76,1,5,,1,A,Platinum,37776
57387,Female,Urban,Bachelor,5.17,0,4,5609.0,More than 1,A,Silver,97236
86216,Male,Urban,High School,7.68,1,8,4478.0,More than 1,A,Platinum,362496
80217,Female,Rural,High School,50.38,0,1,0.0,More than 1,A,Platinum,62280
85557,Female,Urban,High School,8.12,0,6,3603.0,More than 1,A,Silver,115596
57415,Male,Urban,Others,7.85,1,0,4130.0,1,A,Platinum,34176
67495,Female,Urban,Bachelor,8.94,1,2,0.0,More than 1,C,Platinum,77628
68233,Female,Rural,Bachelor,52.05,1,6,0.0,More than 1,C,Gold,301644
4291,Male,Urban,High School,5.03,0,2,7471.0,More than 1,A,Platinum,117288
21053,Male,Urban,Bachelor,5.92,1,5,2177.0,1,B,Platinum,69276
15655,Male,Urban,Others,2.07,0,4,4211.0,More than 1,A,Platinum,100200
51487,Female,Rural,High School,6.49,1,2,0.0,More than 1,A,Platinum,59820
301,Male,Urban,High School,8.97,1,7,5803.0,More than 1,B,Platinum,211608
20417,Female,,Bachelor,70.11,0,7,0.0,More than 1,B,Gold,102108
80995,Male,Urban,Bachelor,4.28,0,7,9063.0,More than 1,B,Gold,67248
89352,Female,Rural,Others,8.0,1,6,,More than 1,B,Platinum,73656
67727,Male,Urban,Others,9.68,0,0,0.0,1,,Gold,50592
40463,Male,Urban,High School,8.98,0,4,5170.0,More than 1,A,Platinum,61440
88966,Female,Urban,Bachelor,5.8,1,6,3826.0,More than 1,A,Silver,94164
54404,Female,Urban,High School,5.91,0,6,9670.0,More than 1,A,Platinum,84804
23063,Female,Urban,High School,3.09,0,3,6837.0,More than 1,A,Platinum,227508
13399,Female,Urban,Bachelor,3.59,0,4,3828.0,More than 1,B,Gold,62976
63692,Male,Urban,High School,6.33,1,2,5367.0,More than 1,A,Gold,230928
89191,Female,Rural,Bachelor,6.37,1,3,0.0,More than 1,A,Platinum,65484
59260,Female,Urban,High School,7.66,1,3,2331.0,More than 1,B,Platinum,44400
48125,Male,Urban,High School,5.75,1,0,8556.0,More than 1,A,Platinum,64236
40417,Male,Urban,Bachelor,3.12,1,7,6269.0,More than 1,B,Platinum,107016
81632,Male,Urban,Bachelor,8.7,1,0,4966.0,More than 1,A,Gold,63876
42888,Male,Urban,High School,2.04,0,8,6897.0,More than 1,A,Silver,58596
70334,Female,Urban,Bachelor,51.15,0,3,2602.0,More than 1,A,Platinum,104772
52928,Male,Rural,High School,50.42,0,7,0.0,1,B,Platinum,63876
46739,Male,Urban,High School,6.36,1,4,10289.0,More than 1,A,Platinum,99024
78321,Female,Urban,High School,5.31,1,5,6912.0,1,,Silver,31104
29272,Female,Rural,High School,8.45,1,6,0.0,More than 1,A,Gold,62352
11624,Female,Urban,Bachelor,5.01,1,6,6174.0,1,A,Platinum,31992
63961,Female,Urban,Bachelor,6.0,1,0,3952.0,More than 1,A,Platinum,101256
27012,Female,Urban,High School,4.5,1,0,6155.0,1,A,Platinum,65076
8990,Female,Rural,High School,3.49,0,4,5108.0,More than 1,C,Platinum,66168
36395,Male,Urban,High School,8.75,0,5,,More than 1,A,Platinum,83328
21279,Male,Urban,Bachelor,0.82,1,8,6078.0,More than 1,A,Silver,381156
49382,Female,Rural,Bachelor,7.45,1,8,0.0,More than 1,,Silver,62868
68687,Male,Rural,Others,9.58,0,1,0.0,1,B,Silver,56880
80598,Female,Rural,Bachelor,8.74,1,5,0.0,1,,Platinum,65952
88697,Male,Rural,High School,7.32,1,1,2324.0,1,B,Platinum,33852
74617,Female,Urban,Bachelor,5.3,1,6,3473.0,More than 1,,Platinum,103152
23685,Male,Urban,High School,65.54,0,5,6653.0,1,A,Silver,52200
3561,Male,Urban,High School,,1,5,4080.0,1,A,Gold,51384
66423,Female,Urban,High School,44.07,0,4,2090.0,More than 1,,Platinum,61176
82060,Male,Rural,Bachelor,7.24,1,6,0.0,More than 1,A,Gold,175476
79302,Male,Rural,High School,9.14,1,6,2987.0,More than 1,A,Gold,101628
18824,Male,Rural,Bachelor,33.04,1,1,2467.0,1,B,Platinum,30540
37588,Male,Urban,High School,7.49,1,6,2746.0,More than 1,A,Platinum,45276
24604,Male,Urban,High School,2.52,1,6,3044.0,1,B,Platinum,60120
58167,Male,Urban,High School,6.77,1,8,7130.0,More than 1,A,Platinum,60588
61643,Female,Urban,High School,2.78,0,6,7643.0,More than 1,A,Silver,71604
79461,Male,Urban,High School,3.77,1,7,6330.0,More than 1,A,Silver,100332
56699,Female,Urban,Bachelor,92.42,1,6,3459.0,More than 1,A,Gold,109956
74429,Male,Urban,Bachelor,3.3,1,5,4867.0,More than 1,A,Gold,75588
